City_ID,City,Country,Date,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed
235,Benghazi,LY,2021-08-09 00:00:27,32.1167,20.0667,clear sky,81.0,61,0,18.01
236,Bambous Virieux,MU,2021-08-08 23:58:33,-20.3428,57.7575,light rain,68.25,94,75,3.44
237,Abu Samrah,SY,2021-08-09 00:00:32,35.3029,37.1841,clear sky,76.21,63,0,12.57
238,Lehigh Acres,US,2021-08-08 23:56:00,26.6254,-81.6248,overcast clouds,84.94,88,90,10.36
239,Jutai,BR,2021-08-09 00:00:33,-5.1833,-68.9,overcast clouds,80.56,58,87,1.68
240,Salalah,OM,2021-08-08 23:52:35,17.0151,54.0924,overcast clouds,76.12,91,91,6.11
241,Bacabal,BR,2021-08-09 00:00:33,-4.2917,-44.7917,clear sky,80.83,41,1,3.6
242,Cherskiy,RU,2021-08-09 00:00:34,68.75,161.3,scattered clouds,61.86,31,40,3.06
243,Turangi,NZ,2021-08-09 00:00:35,-39.0,175.9333,light rain,43.43,59,100,10.2
244,Gohad,IN,2021-08-09 00:00:35,26.4261,78.4447,light rain,81.43,86,100,3.36
245,Freeport,US,2021-08-09 00:00:26,40.6576,-73.5832,mist,72.77,94,90,12.66
246,Andenes,NO,2021-08-09 00:00:36,69.3143,16.1194,overcast clouds,58.98,82,90,14.97
247,Zyryanka,RU,2021-08-09 00:00:37,65.75,150.85,clear sky,68.38,48,9,11.34
248,Hadrut,AZ,2021-08-09 00:00:37,39.52,47.0318,scattered clouds,80.19,40,30,3.87
249,Pisco,PE,2021-08-09 00:00:38,-13.7,-76.2167,clear sky,61.02,85,0,3.8
250,Pinawa,CA,2021-08-08 23:51:21,50.1489,-95.8811,scattered clouds,89.29,33,30,10.09
251,Maragogi,BR,2021-08-09 00:00:39,-9.0122,-35.2225,broken clouds,73.02,87,68,7.81
252,Joao Pinheiro,BR,2021-08-09 00:00:39,-17.7425,-46.1725,clear sky,65.75,43,0,4.12
253,Belaya Gora,RU,2021-08-09 00:00:40,68.5333,146.4167,overcast clouds,70.81,34,88,7.58
254,Gualaquiza,EC,2021-08-09 00:00:41,-3.4,-78.55,broken clouds,65.07,88,65,1.39
